[2026-04-25 17:23:56,084][__main__][INFO] - step 1 | train/loss 1.3869 | train/acc 1.0000 | val/loss 1.3869 | val/acc 1.0000
[2026-04-25 17:23:56,086][__main__][INFO] - step 2 | train/loss 0.8286 | train/acc 1.0000 | val/loss 0.8286 | val/acc 1.0000
[2026-04-25 17:23:56,089][__main__][INFO] - step 3 | train/loss 0.6002 | train/acc 1.0000 | val/loss 0.6002 | val/acc 1.0000
[2026-04-25 17:23:56,091][__main__][INFO] - step 4 | train/loss 0.5033 | train/acc 1.0000 | val/loss 0.5033 | val/acc 1.0000
[2026-04-25 17:23:56,093][__main__][INFO] - step 5 | train/loss 0.4587 | train/acc 1.0000 | val/loss 0.4587 | val/acc 1.0000
[2026-04-25 17:23:56,095][__main__][INFO] - step 6 | train/loss 0.4357 | train/acc 1.0000 | val/loss 0.4357 | val/acc 1.0000
[2026-04-25 17:23:56,097][__main__][INFO] - step 7 | train/loss 0.4209 | train/acc 1.0000 | val/loss 0.4209 | val/acc 1.0000
[2026-04-25 17:23:56,100][__main__][INFO] - step 8 | train/loss 0.4084 | train/acc 1.0000 | val/loss 0.4084 | val/acc 1.0000
[2026-04-25 17:23:56,102][__main__][INFO] - step 9 | train/loss 0.3953 | train/acc 1.0000 | val/loss 0.3953 | val/acc 1.0000
[2026-04-25 17:23:56,104][__main__][INFO] - step 10 | train/loss 0.3811 | train/acc 1.0000 | val/loss 0.3811 | val/acc 1.0000
[2026-04-25 17:23:56,106][__main__][INFO] - step 11 | train/loss 0.3660 | train/acc 1.0000 | val/loss 0.3660 | val/acc 1.0000
[2026-04-25 17:23:56,108][__main__][INFO] - step 12 | train/loss 0.3504 | train/acc 1.0000 | val/loss 0.3504 | val/acc 1.0000
[2026-04-25 17:23:56,111][__main__][INFO] - step 13 | train/loss 0.3349 | train/acc 1.0000 | val/loss 0.3349 | val/acc 1.0000
[2026-04-25 17:23:56,113][__main__][INFO] - step 14 | train/loss 0.3200 | train/acc 1.0000 | val/loss 0.3200 | val/acc 1.0000
[2026-04-25 17:23:56,115][__main__][INFO] - step 15 | train/loss 0.3058 | train/acc 1.0000 | val/loss 0.3058 | val/acc 1.0000
[2026-04-25 17:23:56,117][__main__][INFO] - step 16 | train/loss 0.2923 | train/acc 1.0000 | val/loss 0.2923 | val/acc 1.0000
[2026-04-25 17:23:56,119][__main__][INFO] - step 17 | train/loss 0.2796 | train/acc 1.0000 | val/loss 0.2796 | val/acc 1.0000
[2026-04-25 17:23:56,122][__main__][INFO] - step 18 | train/loss 0.2676 | train/acc 1.0000 | val/loss 0.2676 | val/acc 1.0000
[2026-04-25 17:23:56,124][__main__][INFO] - step 19 | train/loss 0.2562 | train/acc 1.0000 | val/loss 0.2562 | val/acc 1.0000
[2026-04-25 17:23:56,126][__main__][INFO] - step 20 | train/loss 0.2453 | train/acc 1.0000 | val/loss 0.2453 | val/acc 1.0000
[2026-04-25 17:23:56,128][__main__][INFO] - step 21 | train/loss 0.2349 | train/acc 1.0000 | val/loss 0.2349 | val/acc 1.0000
[2026-04-25 17:23:56,130][__main__][INFO] - step 22 | train/loss 0.2250 | train/acc 1.0000 | val/loss 0.2250 | val/acc 1.0000
[2026-04-25 17:23:56,133][__main__][INFO] - step 23 | train/loss 0.2154 | train/acc 1.0000 | val/loss 0.2154 | val/acc 1.0000
[2026-04-25 17:23:56,135][__main__][INFO] - step 24 | train/loss 0.2063 | train/acc 1.0000 | val/loss 0.2063 | val/acc 1.0000
[2026-04-25 17:23:56,137][__main__][INFO] - step 25 | train/loss 0.1976 | train/acc 1.0000 | val/loss 0.1976 | val/acc 1.0000
[2026-04-25 17:23:56,139][__main__][INFO] - step 26 | train/loss 0.1893 | train/acc 1.0000 | val/loss 0.1893 | val/acc 1.0000
[2026-04-25 17:23:56,141][__main__][INFO] - step 27 | train/loss 0.1813 | train/acc 1.0000 | val/loss 0.1813 | val/acc 1.0000
[2026-04-25 17:23:56,143][__main__][INFO] - step 28 | train/loss 0.1736 | train/acc 1.0000 | val/loss 0.1736 | val/acc 1.0000
[2026-04-25 17:23:56,146][__main__][INFO] - step 29 | train/loss 0.1663 | train/acc 1.0000 | val/loss 0.1663 | val/acc 1.0000
[2026-04-25 17:23:56,148][__main__][INFO] - step 30 | train/loss 0.1592 | train/acc 1.0000 | val/loss 0.1592 | val/acc 1.0000
[2026-04-25 17:23:56,150][__main__][INFO] - step 31 | train/loss 0.1525 | train/acc 1.0000 | val/loss 0.1525 | val/acc 1.0000
[2026-04-25 17:23:56,152][__main__][INFO] - step 32 | train/loss 0.1461 | train/acc 1.0000 | val/loss 0.1461 | val/acc 1.0000
[2026-04-25 17:23:56,154][__main__][INFO] - step 33 | train/loss 0.1399 | train/acc 1.0000 | val/loss 0.1399 | val/acc 1.0000
[2026-04-25 17:23:56,157][__main__][INFO] - step 34 | train/loss 0.1341 | train/acc 1.0000 | val/loss 0.1341 | val/acc 1.0000
[2026-04-25 17:23:56,159][__main__][INFO] - step 35 | train/loss 0.1285 | train/acc 1.0000 | val/loss 0.1285 | val/acc 1.0000
[2026-04-25 17:23:56,161][__main__][INFO] - step 36 | train/loss 0.1231 | train/acc 1.0000 | val/loss 0.1231 | val/acc 1.0000
[2026-04-25 17:23:56,163][__main__][INFO] - step 37 | train/loss 0.1180 | train/acc 1.0000 | val/loss 0.1180 | val/acc 1.0000
[2026-04-25 17:23:56,166][__main__][INFO] - step 38 | train/loss 0.1132 | train/acc 1.0000 | val/loss 0.1132 | val/acc 1.0000
[2026-04-25 17:23:56,168][__main__][INFO] - step 39 | train/loss 0.1086 | train/acc 1.0000 | val/loss 0.1086 | val/acc 1.0000
[2026-04-25 17:23:56,170][__main__][INFO] - step 40 | train/loss 0.1042 | train/acc 1.0000 | val/loss 0.1042 | val/acc 1.0000
[2026-04-25 17:23:56,172][__main__][INFO] - step 41 | train/loss 0.1000 | train/acc 1.0000 | val/loss 0.1000 | val/acc 1.0000
[2026-04-25 17:23:56,174][__main__][INFO] - step 42 | train/loss 0.0960 | train/acc 1.0000 | val/loss 0.0960 | val/acc 1.0000
[2026-04-25 17:23:56,177][__main__][INFO] - step 43 | train/loss 0.0922 | train/acc 1.0000 | val/loss 0.0922 | val/acc 1.0000
[2026-04-25 17:23:56,179][__main__][INFO] - step 44 | train/loss 0.0886 | train/acc 1.0000 | val/loss 0.0886 | val/acc 1.0000
[2026-04-25 17:23:56,181][__main__][INFO] - step 45 | train/loss 0.0851 | train/acc 1.0000 | val/loss 0.0851 | val/acc 1.0000
[2026-04-25 17:23:56,183][__main__][INFO] - step 46 | train/loss 0.0818 | train/acc 1.0000 | val/loss 0.0818 | val/acc 1.0000
[2026-04-25 17:23:56,185][__main__][INFO] - step 47 | train/loss 0.0787 | train/acc 1.0000 | val/loss 0.0787 | val/acc 1.0000
[2026-04-25 17:23:56,187][__main__][INFO] - step 48 | train/loss 0.0757 | train/acc 1.0000 | val/loss 0.0757 | val/acc 1.0000
[2026-04-25 17:23:56,190][__main__][INFO] - step 49 | train/loss 0.0728 | train/acc 1.0000 | val/loss 0.0728 | val/acc 1.0000
[2026-04-25 17:23:56,192][__main__][INFO] - step 50 | train/loss 0.0701 | train/acc 1.0000 | val/loss 0.0701 | val/acc 1.0000
[2026-04-25 17:23:56,194][__main__][INFO] - step 51 | train/loss 0.0675 | train/acc 1.0000 | val/loss 0.0675 | val/acc 1.0000
[2026-04-25 17:23:56,196][__main__][INFO] - step 52 | train/loss 0.0650 | train/acc 1.0000 | val/loss 0.0650 | val/acc 1.0000
[2026-04-25 17:23:56,199][__main__][INFO] - step 53 | train/loss 0.0626 | train/acc 1.0000 | val/loss 0.0626 | val/acc 1.0000
[2026-04-25 17:23:56,201][__main__][INFO] - step 54 | train/loss 0.0603 | train/acc 1.0000 | val/loss 0.0603 | val/acc 1.0000
[2026-04-25 17:23:56,203][__main__][INFO] - step 55 | train/loss 0.0582 | train/acc 1.0000 | val/loss 0.0582 | val/acc 1.0000
[2026-04-25 17:23:56,205][__main__][INFO] - step 56 | train/loss 0.0561 | train/acc 1.0000 | val/loss 0.0561 | val/acc 1.0000
[2026-04-25 17:23:56,207][__main__][INFO] - step 57 | train/loss 0.0541 | train/acc 1.0000 | val/loss 0.0541 | val/acc 1.0000
[2026-04-25 17:23:56,209][__main__][INFO] - step 58 | train/loss 0.0522 | train/acc 1.0000 | val/loss 0.0522 | val/acc 1.0000
[2026-04-25 17:23:56,212][__main__][INFO] - step 59 | train/loss 0.0504 | train/acc 1.0000 | val/loss 0.0504 | val/acc 1.0000
[2026-04-25 17:23:56,214][__main__][INFO] - step 60 | train/loss 0.0486 | train/acc 1.0000 | val/loss 0.0486 | val/acc 1.0000
[2026-04-25 17:23:56,216][__main__][INFO] - step 61 | train/loss 0.0470 | train/acc 1.0000 | val/loss 0.0470 | val/acc 1.0000
[2026-04-25 17:23:56,218][__main__][INFO] - step 62 | train/loss 0.0454 | train/acc 1.0000 | val/loss 0.0454 | val/acc 1.0000
[2026-04-25 17:23:56,220][__main__][INFO] - step 63 | train/loss 0.0439 | train/acc 1.0000 | val/loss 0.0439 | val/acc 1.0000
[2026-04-25 17:23:56,223][__main__][INFO] - step 64 | train/loss 0.0424 | train/acc 1.0000 | val/loss 0.0424 | val/acc 1.0000
[2026-04-25 17:23:56,225][__main__][INFO] - step 65 | train/loss 0.0410 | train/acc 1.0000 | val/loss 0.0410 | val/acc 1.0000
[2026-04-25 17:23:56,227][__main__][INFO] - step 66 | train/loss 0.0396 | train/acc 1.0000 | val/loss 0.0396 | val/acc 1.0000
[2026-04-25 17:23:56,229][__main__][INFO] - step 67 | train/loss 0.0384 | train/acc 1.0000 | val/loss 0.0384 | val/acc 1.0000
[2026-04-25 17:23:56,231][__main__][INFO] - step 68 | train/loss 0.0371 | train/acc 1.0000 | val/loss 0.0371 | val/acc 1.0000
[2026-04-25 17:23:56,234][__main__][INFO] - step 69 | train/loss 0.0359 | train/acc 1.0000 | val/loss 0.0359 | val/acc 1.0000
[2026-04-25 17:23:56,236][__main__][INFO] - step 70 | train/loss 0.0348 | train/acc 1.0000 | val/loss 0.0348 | val/acc 1.0000
[2026-04-25 17:23:56,238][__main__][INFO] - step 71 | train/loss 0.0337 | train/acc 1.0000 | val/loss 0.0337 | val/acc 1.0000
[2026-04-25 17:23:56,240][__main__][INFO] - step 72 | train/loss 0.0326 | train/acc 1.0000 | val/loss 0.0326 | val/acc 1.0000
[2026-04-25 17:23:56,242][__main__][INFO] - step 73 | train/loss 0.0316 | train/acc 1.0000 | val/loss 0.0316 | val/acc 1.0000
[2026-04-25 17:23:56,244][__main__][INFO] - step 74 | train/loss 0.0306 | train/acc 1.0000 | val/loss 0.0306 | val/acc 1.0000
[2026-04-25 17:23:56,247][__main__][INFO] - step 75 | train/loss 0.0297 | train/acc 1.0000 | val/loss 0.0297 | val/acc 1.0000
[2026-04-25 17:23:56,249][__main__][INFO] - step 76 | train/loss 0.0288 | train/acc 1.0000 | val/loss 0.0288 | val/acc 1.0000
[2026-04-25 17:23:56,251][__main__][INFO] - step 77 | train/loss 0.0279 | train/acc 1.0000 | val/loss 0.0279 | val/acc 1.0000
